utcTime,scoreStr,home,away,finished
2025-01-29T20:00:00Z,0 - 1,Young Boys,FK Crvena Zvezda,True
2025-02-11T17:45:00Z,0 - 3,Brest,PSG,True
2025-02-11T20:00:00Z,2 - 1,Juventus,PSV Eindhoven,True
2025-02-11T20:00:00Z,2 - 3,Man City,Real Madrid,True
2025-02-11T20:00:00Z,0 - 3,Sporting CP,Dortmund,True
2025-02-12T17:45:00Z,2 - 1,Club Brugge,Atalanta,True
2025-02-12T20:00:00Z,1 - 2,Celtic,Bayern München,True
2025-02-12T20:00:00Z,1 - 0,Feyenoord,Milan,True
2025-02-12T20:00:00Z,0 - 1,Monaco,Benfica,True
2025-02-18T17:45:00Z,1 - 1,Milan,Feyenoord,True
2025-02-18T20:00:00Z,1 - 3,Atalanta,Club Brugge,True
2025-02-18T20:00:00Z,1 - 1,Bayern München,Celtic,True
2025-02-18T20:00:00Z,3 - 3,Benfica,Monaco,True
2025-02-19T17:45:00Z,0 - 0,Dortmund,Sporting CP,True
2025-02-19T20:00:00Z,7 - 0,PSG,Brest,True
2025-02-19T20:00:00Z,3 - 1,PSV Eindhoven,Juventus,True
2025-02-19T20:00:00Z,3 - 1,Real Madrid,Man City,True
2025-03-04T17:45:00Z,1 - 3,Club Brugge,Aston Villa,True
2025-03-04T20:00:00Z,1 - 1,Dortmund,Lille,True
2025-03-04T20:00:00Z,1 - 7,PSV Eindhoven,Arsenal,True
2025-03-04T20:00:00Z,2 - 1,Real Madrid,Atletico Madrid,True
2025-03-05T17:45:00Z,0 - 2,Feyenoord,Inter,True
2025-03-05T20:00:00Z,3 - 0,Bayern München,Leverkusen,True
2025-03-05T20:00:00Z,0 - 1,Benfica,Barcelona,True
2025-03-05T20:00:00Z,0 - 1,PSG,Liverpool,True
2025-03-11T17:45:00Z,3 - 1,Barcelona,Benfica,True
2025-03-11T20:00:00Z,0 - 2,Leverkusen,Bayern München,True
2025-03-11T20:00:00Z,2 - 1,Inter,Feyenoord,True
2025-03-11T20:00:00Z,0 - 1,Liverpool,PSG,True
2025-03-12T17:45:00Z,1 - 2,Lille,Dortmund,True
2025-03-12T20:00:00Z,2 - 2,Arsenal,PSV Eindhoven,True
2025-03-12T20:00:00Z,3 - 0,Aston Villa,Club Brugge,True
2025-03-12T20:00:00Z,1 - 0,Atletico Madrid,Real Madrid,True
2025-04-08T19:00:00Z,3 - 0,Arsenal,Real Madrid,True
2025-04-08T19:00:00Z,1 - 2,Bayern München,Inter,True
2025-04-09T19:00:00Z,4 - 0,Barcelona,Dortmund,True
2025-04-09T19:00:00Z,3 - 1,PSG,Aston Villa,True
2025-04-15T19:00:00Z,3 - 2,Aston Villa,PSG,True
2025-04-15T19:00:00Z,3 - 1,Dortmund,Barcelona,True
2025-04-16T19:00:00Z,2 - 2,Inter,Bayern München,True
2025-04-16T19:00:00Z,1 - 2,Real Madrid,Arsenal,True
2025-04-29T19:00:00Z,0 - 1,Arsenal,PSG,True
2025-04-30T19:00:00Z,3 - 3,Barcelona,Inter,True
2025-05-06T19:00:00Z,4 - 3,Inter,Barcelona,True
2025-05-07T19:00:00Z,2 - 1,PSG,Arsenal,True
2025-05-31T19:00:00Z,5 - 0,PSG,Inter,True
